"Name","Example","Type","Min","Max","Default","Description"
"Boost_Effect","[link](../json/campaign-simpleboostervaccine_boost_effect.json)","float","0","1","1","Specifies the boosting effect on [acquisition/transmission/mortality] immunity for previously exposed individuals (either natural or vaccine-derived). This does not replace current immunity, it builds multiplicatively on top of it."
"Boost_Threshold","[link](../json/campaign-simpleboostervaccine_boost_threshold.json)","float","0","1","0","Specifies how much immunity is required before the vaccine changes from a priming effect to a boosting effect."
"Cost_To_Consumer","[link](../json/campaign-simpleboostervaccine_cost_to_consumer.json)","float","0","999999","10","The unit cost per vaccine (unamortized)."
"Disqualifying_Properties","[link](../json/campaign-simpleboostervaccine_disqualifying_properties.json)","array of strings","NA","NA","[]","A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
"Dont_Allow_Duplicates","[link](../json/campaign-simpleboostervaccine_dont_allow_duplicates.json)","boolean","0","1","0","If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
"Efficacy_Is_Multiplicative","[link](../json/campaign-simpleboostervaccine_efficacy_is_multiplicative.json)","boolean","0","1","1","The overall vaccine efficacy when individuals receive more than one vaccine. When set to true (1), the vaccine efficacies are multiplied together; when set to false (0), the efficacies are additive."
"Intervention_Name","[link](../json/campaign-simpleboostervaccine_intervention_name.json)","string","NA","NA","SimpleBoosterVaccine","The optional name used to refer to this intervention as a means to differentiate it from others that use the same class."
"New_Property_Value","[link](../json/campaign-simpleboostervaccine_new_property_value.json)","string","NA","NA","""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See :ref:`demo-properties` parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one."
"Prime_Effect","[link](../json/campaign-simpleboostervaccine_prime_effect.json)","float","0","1","1","Specifies the priming effect on [acquisition/transmission/mortality] immunity for naive individuals (without natural or vaccine-derived immunity)."
"Vaccine_Take","[link](../json/campaign-simpleboostervaccine_vaccine_take.json)","float","0","1","1","The rate at which delivered vaccines will successfully stimulate an immune response and achieve the desired efficacy. For example, if it is set to 0.9, there will be a 90 percent chance that the vaccine will start with the specified efficacy, and a 10 percent chance that it will have no efficacy at all."
"Vaccine_Type","[link](../json/campaign-simpleboostervaccine_vaccine_type.json)","enum","NA","NA","Generic","The type of vaccine to distribute in a vaccine intervention. <br> Possible values are:<br> <br> Generic<br> The vaccine can reduce transmission, acquisition, and mortality.<br> TransmissionBlocking<br> The vaccine will reduce pathogen transmission.<br> AcquisitionBlocking<br> The vaccine will reduce the acquisition of the pathogen by reducing the force of infection experienced by the vaccinated individual.<br> MortalityBlocking<br> The vaccine reduces the disease-mortality rate of a vaccinated individual."
"Waning_Config","[link](../json/campaign-simpleboostervaccine_waning_config.json)","json object","NA","NA","NA","The configuration of how the intervention efficacy wanes over time. Specify how this effect decays over time using one of the :doc:`parameter-campaign-waningeffects`."
